pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
BTC/USDT,99.9057882,99.9057882,0.00157,2026-06-08 01:00:00+00:00,2026-06-15 01:00:00+00:00,63634.26,65588.47,0.001,0.001,10080,0.02865066873430305,2.86523001,exit_signal,636.35,-0.99,636.35,-0.99,60794.57,65873.58,False,route_c_target,1.0,False,1780880400000,1781485200000,"[{'amount': 0.00157, 'safe_price': 63634.26, 'ft_order_side': 'buy', 'order_filled_timestamp': 1780880400000, 'ft_is_entry': True, 'ft_order_tag': 'route_c_target', 'cost': 100.0056939882}, {'amount': 0.00157, 'safe_price': 65588.47, 'ft_order_side': 'sell', 'order_filled_timestamp': 1781485200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 103.07687179789998}]",0.0,0
BTC/USDT,102.339696,102.339696,0.0016,2026-06-22 01:00:00+00:00,2026-06-29 01:00:00+00:00,63962.31,59641.22,0.001,0.001,10080,-0.06941983924551862,-7.11150965,exit_signal,639.63,-0.99,639.63,-0.99,58150.0,65582.13,False,route_c_target,1.0,False,1782090000000,1782694800000,"[{'amount': 0.0016, 'safe_price': 63962.31, 'ft_order_side': 'buy', 'order_filled_timestamp': 1782090000000, 'ft_is_entry': True, 'ft_order_tag': 'route_c_target', 'cost': 102.44203569599999}, {'amount': 0.0016, 'safe_price': 59641.22, 'ft_order_side': 'sell', 'order_filled_timestamp': 1782694800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 95.521377952}]",0.0,0
